 ,Area,Mean,Min,Max,Length
1,1967,98.790,73.460,133.568,1797.727
2,757,94.484,31.727,220.120,692.566
3,580,184.928,155.333,209.560,526.469
4,5249,126.593,78.133,171.144,4748.472
5,1892,110.335,79.000,154.608,1727.897
6,723,90.770,51.491,117.333,645.375
7,3463,139.030,44.333,187.213,3099.419
8,2978,117.883,78.333,156.196,2686.231
9,609,110.627,49.787,161.880,557.365
10,1614,106.599,38.667,151.033,1465.986
11,526,152.930,106.580,194.400,493.764
12,3190,116.848,71.857,161.380,2808.947
13,300,85.832,40.993,153.000,278.358
14,538,82.175,41.360,126.573,486.307
15,1498,104.710,14.333,206.480,1423.053
16,5721,107.102,38.453,193.000,5348.758
17,1494,127.218,68.333,155.956,1413.387
18,1644,130.177,46.099,190.716,1595.569
19,2341,146.701,120.533,172.093,2207.916
20,1070,98.315,43.343,142.000,1019.556
21,1406,124.842,64.000,159.823,1269.224
22,678,93.993,45.373,122.527,628.155
23,1093,103.225,60.315,141.000,1021.453
24,2044,151.217,115.770,178.357,1900.512
25,2124,125.969,55.433,199.046,1949.936
